energy mult mult_err
1.00 2.462 0.0268
2.00 2.588 0.0267
3.00 2.718 0.0265
4.00 2.854 0.0264
5.00 2.995 0.0252
6.00 3.216 0.0392
7.00 3.425 0.0546
8.00 3.551 0.0573
9.00 3.674 0.0572
10.0 3.794 0.0556
11.0 3.919 0.0574
12.0 4.063 0.0569
13.0 4.204 0.0589
14.0 4.343 0.0559
15.0 4.486 0.0577
16.0 4.625 0.0595
17.0 4.761 0.0613
18.0 4.892 0.0646
19.0 5.026 0.0664
20.0 5.159 0.0758
21.0 5.283 0.0776
22.0 5.398 0.0793
23.0 5.504 0.0809
24.0 5.604 0.0823
25.0 5.703 0.0976
26.0 5.804 0.0993
27.0 5.903 0.1010
28.0 6.001 0.1027
29.0 6.101 0.1044
30.0 6.245 0.1044
